Ntrain,Capital_top5,Capital_top10,Capital_top20
121,260.30843042104163,232.9117682639409,200.41066844971346
123,288.2431870251274,246.72735231965328,195.88379705218424
125,330.19525082109055,264.61666961900966,209.05618057207613
127,358.4387401425576,291.5303534225484,207.27326813519653
129,365.55461312036346,306.30086281658595,200.0376701916092
131,351.2273576534812,274.2990097949411,202.1727833810055
133,349.31441428982845,237.4959173028301,199.71167650067613
135,374.21664561117234,257.1464731693588,192.65989536270104
137,340.92657029129293,209.2924062031555,184.36213265471676
139,403.94016647157844,239.93750434456217,197.964603709823
141,345.75323913968765,240.663694417841,194.01017587752685
143,336.74621340663975,255.80696363865187,208.96448310569446
145,368.2511457144215,276.15310285288876,209.55062644249512
147,390.04396222793713,291.51747500292447,204.69735769708666
149,398.4576849441541,294.26477640533886,216.52592152473161
150,354.1512770521238,270.03647645210384,216.52809552213844
155,297.0839225977914,242.92174107144814,195.2842455762093
160,294.344343184126,233.08076808119034,188.4136824218452
165,336.14503433082507,233.79095338693304,178.64041691587846
170,344.5627751515742,245.55152416407674,178.217616084961
175,320.1107438781719,215.01783765048677,159.35949346577053
180,324.3597206493179,197.38338355298038,150.33683423702715
185,266.74356018354473,184.12163789059633,143.91576255776016
190,200.51499077258424,173.35185204326956,141.59983095352675
195,214.83104802484246,164.57249600460918,150.88036183227257
200,161.06207511275096,149.86255388516162,141.79762800563788
205,173.80441228115595,151.46303911616562,139.8504241041992
210,169.41719492025493,152.9931115936302,142.26546313558353
215,162.2817650081634,152.31962519003906,133.1909631485859
220,165.809138363325,175.12700706467993,145.2865733352312
225,159.34912957955248,160.14790930160646,140.47338151572265
230,147.4040825721251,137.2985649551718,135.79210350427962
235,159.6369011427517,153.5907345833585,145.28413800531737
240,142.69950658517484,159.93420635527386,153.9239601950898
245,134.83194134243746,141.50866736901898,138.82538880149232
250,123.2638695470343,143.49519333338924,129.49771735655088
260,158.03727988925485,158.2279145229259,141.60571263155137
270,207.59029033389248,152.0997572990736,157.69827289721192
280,167.6847415136687,160.81124649741363,141.72621024126087
290,155.5712915346733,164.4349222514245,157.1351243618896
300,184.16765876345787,199.76484977716217,168.75991624170575
310,169.75859980446845,192.79585153519213,165.29626340308076
320,188.89691477155407,171.87807597379572,148.07152408598515
330,180.09859952816828,197.4135931481021,157.89039043334913
340,165.62209364530773,174.16196721468677,162.28506375243634
350,161.77224335029555,153.1032338952936,143.20580379606628
360,157.82359502533413,143.5037940969724,137.78238052739496
370,154.97567738079502,149.26060061108114,123.42258156213026
380,152.2069946614229,120.10761813783746,131.21280093677055
390,137.33117191145368,126.9853753960167,140.43752712958866
400,147.36079294236154,158.57782842116646,140.442074632599
410,152.6360424305328,159.9800453463092,141.35860477115284
420,127.17320469470408,143.87410052928436,128.92253641780158
430,133.7081385274462,140.87883647041454,136.37192865048158
440,153.72596287450878,151.44782908457387,135.71511933503893
450,122.14640131764408,133.17325169029547,135.00658815609754
460,164.08088305644327,137.390440198757,129.18961848307848
470,132.60352434783104,144.4422957040974,134.78587820959962
480,153.92540269399117,137.5893548167812,134.50754073380423
490,157.58162588197916,155.13830735493374,141.46154755917973
500,185.08517381797748,140.35538422903343,125.27727141729402
530,172.0547723316525,131.49083921715172,125.63712473188582
560,137.92288414293853,126.97413085663989,115.76959172687198
590,133.2728072832753,119.96863497981012,124.98324546031179
620,157.5332744773435,154.27914125959418,125.81178078575677
650,141.3876579670386,148.117864538098,133.37120889951677
680,144.61541532614342,138.84402921648373,126.05586002374152
710,141.88370335807372,124.58410361600029,122.7143879856873
740,134.65663656417587,136.5460565105889,117.94535550795324
770,121.81762261726774,121.15038344775722,116.8071945113532
800,123.83125462934834,120.16434359942832,111.47259212887315
830,120.84524949741717,117.38741240805777,112.04356501312718
860,88.93525753937503,110.98055755654967,111.51484005941548
890,141.87388355980084,120.02875824313352,126.24929149431188
920,105.12949406106884,113.95373974941599,121.19994861583613
950,83.4149879243875,96.38658402354572,109.42038055335561
980,99.42770910611091,103.67523769289598,110.55635544037578
