Njump,Capital_top5,Capital_top10,Capital_top20
21,252.0704922858387,271.72446482847,205.4190148177474
26,135.77804538781953,215.0199672139251,197.00975483094686
31,219.61569265667765,221.31833178424634,166.91195702836262
36,252.65904927320264,210.35488646047918,220.74307194016956
41,227.56214634755798,229.42994797955456,211.31765364862494
46,286.6544039592886,250.69013441858732,225.01430648206045
51,244.61933893734812,249.7360577432999,211.06969688056654
56,215.88561114374835,253.89686333972205,204.7781770123558
61,173.8400274222993,184.62067543331904,192.71172102689627
66,202.55137730455104,214.3870714921857,218.75667408106446
71,210.44023906288962,180.21479107030876,186.99451588604066
76,197.2863224069036,202.9853899736493,203.96600472963203
81,291.09420256473067,214.2706634311761,207.2905426171854
86,363.39088196102625,285.7354928839502,203.88545200534656
91,200.00177538468904,176.38568719018986,172.0311286765186
96,257.3546487038867,234.07471709941947,197.85124988805504
101,232.54380458692214,201.1198012626813,182.1616165251973
106,273.3487428004332,228.63107065399876,196.89476774727157
111,159.7872624565446,191.12984421576894,168.99102490606649
116,285.6656099795344,207.5887541451912,168.74274255071623
121,246.40904904599887,220.285450106424,184.34166695399622
126,184.74973488347513,192.44780989606218,144.1126413914314
136,337.44185864019346,272.586105864757,192.6874596109165
146,199.9071380996986,176.96899989912086,160.37678256886133
156,199.7639309237849,177.8218230621611,142.94798695703292
166,120.78304471197228,121.728783971207,119.80659432777965
176,198.87527835899488,179.56756517697866,161.61561159577425
186,114.87496511903967,147.01019016506433,146.82979802239063
196,152.03098187461975,133.80484526877444,131.87947387959312
206,160.44767904878603,147.3972734471129,137.30518348677907
216,117.28118650280925,113.2233608251784,123.33992990364236
226,169.7698178581684,175.37391970610832,155.01373852958554
236,223.47388297362662,185.38075345525385,181.18898375372976
246,99.07496673549787,109.9689172848613,120.50330254877879
