Njump,Capital_top5,Capital_top10,Capital_top20
50,235.69467618662543,251.35078948841553,194.95171895579898
55,183.33722821972108,227.2847844083128,203.3671848735056
60,230.2916004736269,240.09356086557835,212.4282376986814
65,184.65800122350174,177.73639052766458,169.75931965513632
70,303.5462045843347,229.1965753176751,221.212675621244
75,275.60276692069374,251.34752775003594,211.07879978677454
80,266.614493573258,232.07751369335168,213.96453503686445
85,298.0152446062622,240.78616896507344,228.76178775564813
90,239.83030763614838,222.9962647950242,196.2160470287775
95,289.66083097461944,296.65410488439636,229.57095796227978
100,191.42901019717084,203.0310956268951,178.96844778885267
105,252.20857249263423,214.33594987733304,176.81579905188968
110,139.23260181130738,130.41153178578494,130.5899275485942
115,296.920536511664,210.09575633205407,183.74635946653143
120,191.7050802122265,201.46658390645263,174.42162227988464
125,162.11020842606564,153.409972620404,123.93416733462179
130,141.19657960721725,142.94069256104765,131.93546845048164
135,183.90965818030983,202.3305774545823,178.4093164549539
140,147.44835430539,153.3054416759009,141.8716185989588
145,194.9125967758039,155.75596778029276,157.604824201731
